r,z,concentration
0.006081432,0.001128116,1.734065611
0.005,0.001666667,2.105880162
0.005,-1.22e-18,2.096345633
0.006666667,-1.63e-18,1.577986859
0.006240339,0.002504357,1.686843532
0.005,0.003333333,2.102250752
0.008333333,-2.04e-18,1.265801407
0.007500154,0.001469558,1.404975562
0.006299371,0.004137356,1.670703643
0.005,0.005,2.101079065
0.009247126,0.001329351,1.141695128
0.01,-2.45e-18,1.056522729
0.007585177,0.003278444,1.390418679
0.008734781,0.002550589,1.210369074
0.006333417,0.005798302,1.661406568
0.005,0.006666667,2.100559528
0.006335456,0.007478169,1.660910903
0.005,0.008333333,2.100549001
0.010873623,0.001347901,0.972307304
0.011666667,-2.86e-18,0.906468908
0.006335782,0.009155173,1.660763691
0.005,0.01,2.100286602
0.007672706,0.00493889,1.37425022
0.010109494,0.002682104,1.04586432
0.009170872,0.004070665,1.150613098
0.007673071,0.006614564,1.374678122
0.007670466,0.008300973,1.375098936
0.011704839,0.002727953,0.903674563
0.012512663,0.001357892,0.845512169
0.013333333,-3.27e-18,0.79364355
0.01416604,0.001352508,0.747173729
0.015,-3.67e-18,0.705755242
0.006354156,0.010836119,1.655656646
0.005,0.011666667,2.099993393
0.00635545,0.012520773,1.654596693
0.005,0.013333333,2.099918504
0.007694859,0.009995373,1.370726365
0.008981275,0.00577102,1.176488148
0.010913139,0.004112139,0.968701563
0.01021359,0.005270885,1.035882617
0.009010287,0.007427977,1.172416132
0.009021593,0.009117594,1.170882098
0.012488635,0.004149219,0.847219912
0.013331477,0.00271899,0.793802449
0.015829813,0.00134167,0.668867138
0.016666667,-4.08e-18,0.635369139
0.014988472,0.002696054,0.706300811
0.017498098,0.001330821,0.605249554
0.018333333,-4.49e-18,0.577735567
0.006367063,0.014168614,1.651852215
0.005,0.015,2.10082659
0.006322457,0.015708041,1.665217581
0.005,0.016666667,2.098035007
0.007738843,0.011678727,1.362900038
0.007881822,0.013465333,1.337832963
0.009033986,0.010799112,1.16918242
