r,z,concentration
0.006081432,0.001128116,49.92887983
0.005,0.001666667,49.91904321
0.005,-1.22e-18,49.91905232
0.006666667,-1.63e-18,49.93349863
0.006240339,0.002504357,49.93017628
0.005,0.003333333,49.91904615
0.008333333,-2.04e-18,49.94471632
0.007500154,0.001469558,49.93942081
0.006299371,0.004137356,49.93064929
0.005,0.005,49.91904642
0.009247126,0.001329351,49.94994844
0.01,-2.45e-18,49.95388512
0.007585177,0.003278444,49.93998684
0.008734781,0.002550589,49.94708223
0.006333417,0.005798302,49.93092013
0.005,0.006666667,49.91904659
0.006335456,0.007478169,49.9309364
0.005,0.008333333,49.91904649
0.010873623,0.001347901,49.9580977
0.011666667,-2.86e-18,49.96163885
0.006335782,0.009155173,49.9309391
0.005,0.01,49.9190466
0.007672706,0.00493889,49.94056364
0.010109494,0.002682104,49.95443294
0.009170872,0.004070665,49.9495318
0.007673071,0.006614564,49.94056595
0.007670466,0.008300973,49.94054909
0.011704839,0.002727953,49.96180319
0.012512663,0.001357892,49.9651607
0.013333333,-3.27e-18,49.96835688
0.01416604,0.001352508,49.97140515
0.015,-3.67e-18,49.97428369
0.006354156,0.010836119,49.93108445
0.005,0.011666667,49.91904679
0.00635545,0.012520773,49.93109557
0.005,0.013333333,49.91904661
0.007694859,0.009995373,49.94070865
0.008981275,0.00577102,49.94848161
0.010913139,0.004112139,49.95827993
0.01021359,0.005270885,49.95494803
0.009010287,0.007427977,49.94864371
0.009021593,0.009117594,49.94870684
0.012488635,0.004149219,49.96506402
0.013331477,0.00271899,49.96834989
0.015829813,0.00134167,49.97699349
0.016666667,-4.08e-18,49.97958626
0.014988472,0.002696054,49.974245
0.017498098,0.001330821,49.98203657
0.018333333,-4.49e-18,49.98438371
0.006367063,0.014168614,49.93118602
0.005,0.015,49.91904509
0.006322457,0.015708041,49.93083267
0.005,0.016666667,49.91904839
0.007738843,0.011678727,49.94099529
0.007881822,0.013465333,49.94191437
0.009033986,0.010799112,49.94877616
0.010302009,0.006668353,49.95538159
0.01162919,0.005669103,49.96147718
0.01034734,0.008271927,49.9556023
0.010361168,0.00996279,49.95566953
0.01335288,0.005425535,49.96843057
0.014131985,0.004061102,49.97128406
0.0166596,0.002670638,49.97956492
0.015811648,0.004033679,49.9769357
0.019165488,0.00131772,49.98661833
0.02,-4.9e-18,49.98876402
0.018329202,0.002652068,49.98437237
0.020827081,0.001281174,49.99080415
0.021666667,-5.31e-18,49.992794
0.006495464,0.017494239,49.93218995
0.005,0.018333333,49.91904439
0.006143248,0.01892337,49.92938835
0.005,0.02,49.91905099
0.007639583,0.014985581,49.94034622
0.007595349,0.016196653,49.94005423
0.009106135,0.012437794,49.94917562
0.008720768,0.014527497,49.94700141
0.009184378,0.013677403,49.94960628
0.010499615,0.011707307,49.95633714
0.011671828,0.007420298,49.96166106
0.012835938,0.006692094,49.96644401
0.011712111,0.009039373,49.96183447
0.011764554,0.010558703,49.962059
0.014252445,0.006784874,49.97171121
0.015010368,0.005407193,49.97431846
0.016673003,0.005361258,49.97960537
0.017481493,0.003997711,49.98198878
0.020005308,0.002642282,49.98877738
0.019165223,0.003953238,49.98661762
0.021652559,0.00250118,49.99276125
0.022472465,0.001225863,49.99463263
0.023333333,-5.72e-18,49.99652558
0.023868012,0.001080568,49.99766651
0.025,-6.12e-18,50.0
0.008270984,0.017378502,49.94433846
0.007554107,0.018789277,49.93978082
0.006666667,0.02,49.93349918
0.008940438,0.01584129,49.94825296
0.010271887,0.013291305,49.95523431
0.00992943,0.014653942,49.95352907
0.011441779,0.012928186,49.96065968
0.012138656,0.011877007,49.96363388
0.012891362,0.011051753,49.96666083
0.013204377,0.008180937,49.96786802
0.013015538,0.009872513,49.96714307
0.015102163,0.008060043,49.97462515
0.015904181,0.006750636,49.97722939
0.017588531,0.006665887,49.98229603
0.01825201,0.005315834,49.98415992
0.019690821,0.005208199,49.98797969
0.020869726,0.004149271,49.99090712
0.022407141,0.003733985,49.99448607
0.023527843,0.00251249,49.9969436
0.025,0.001666667,50.0
0.009901222,0.017275216,49.95338573
0.009139326,0.01867434,49.94935899
0.008333333,0.02,49.94471641
0.010695222,0.015872903,49.95726544
0.011469986,0.014343201,49.96078363
0.012642616,0.01328337,49.9656806
0.013452255,0.012039262,49.96880374
0.014045457,0.010818487,49.97097509
0.01443168,0.009464144,49.97233994
0.01571537,0.009284491,49.97662834
0.016797224,0.008225548,49.97997897
0.018325178,0.007842478,49.98436131
0.019328391,0.006683122,49.98704442
0.020882475,0.00590324,49.9909379
0.022284556,0.005102772,49.99420984
0.02364488,0.004255095,49.99719353
0.025,0.003333333,50.0
0.01157326,0.017252572,49.96123444
0.010788103,0.018631691,49.95770055
0.01,0.02,49.95388498
0.012346742,0.015857878,49.96448912
0.013135697,0.014533856,49.96760562
0.014129331,0.013271306,49.97127464
0.014981206,0.01193284,49.97422064
0.0155007,0.010550409,49.97593615
0.016887669,0.009872606,49.98024932
0.018213887,0.0092094,49.9840547
0.019565037,0.008353246,49.98765706
0.02087034,0.007493571,49.99090862
0.022264055,0.00670017,49.99416351
0.02363816,0.005872563,49.9971792
0.025,0.005,50.0
0.013249733,0.017255364,49.96804041
0.012457369,0.018628446,49.96493788
0.011666667,0.02,49.9616388
0.014041896,0.015893789,49.97096223
0.014894337,0.014566025,49.97392791
0.015725734,0.013191546,49.97666146
0.01670903,0.011766425,49.97971402
0.018241779,0.0108513,49.98413166
0.019571807,0.010002052,49.98767447
0.020921673,0.009148552,49.99103231
0.022272064,0.008333634,49.99418161
0.023635469,0.007510673,49.99717347
0.025,0.006666667,50.0
0.014946048,0.017268324,49.97410235
0.014133082,0.018631172,49.97128794
0.013333333,0.02,49.96835686
0.015763911,0.01590405,49.97678353
0.016581508,0.0146044,49.97932843
0.017109882,0.013283348,49.9809073
0.018317168,0.012516259,49.9843393
0.019613074,0.011652245,49.9877805
0.020943563,0.010819853,49.99108496
0.022292189,0.00999003,49.99422709
0.023642577,0.009166301,49.99718861
0.025,0.008333333,50.0
0.016635177,0.01726299,49.97949106
0.015811954,0.018635545,49.97693667
0.015,0.02,49.97428368
0.017482525,0.015827169,49.9819917
0.018301758,0.014286804,49.98429689
0.019630686,0.013255155,49.98782569
0.020970141,0.012468828,49.99114881
0.022305062,0.011651831,49.99425616
0.023648858,0.010828032,49.99720199
0.025,0.01,50.0
0.018252668,0.017242654,49.98416174
0.017466592,0.01862848,49.98194585
0.016666667,0.02,49.97958626
0.01902618,0.015853356,49.98625113
0.019734406,0.014628159,49.98809099
0.021017012,0.014113545,49.99126122
0.022320674,0.013312206,49.99429139
0.023655006,0.012492017,49.99721508
0.025,0.011666667,50.0
0.019845908,0.017261214,49.98837461
0.01909975,0.018629689,49.98644536
0.018333333,0.02,49.9843837
0.020795708,0.015837342,49.99072826
0.022321243,0.014987026,49.99429267
0.023655578,0.01415999,49.9972163
0.025,0.013333333,50.0
0.021198887,0.017374843,49.99169507
0.020706029,0.018627542,49.99051068
0.02,0.02,49.988764
0.022426319,0.016643254,49.99452914
0.023690877,0.015820627,49.99729139
0.025,0.015,50.0
0.022430695,0.018486608,49.99453896
0.021666667,0.02,49.99279399
0.023742122,0.017466827,49.99740019
0.025,0.016666667,50.0
0.023904842,0.018850472,49.99774415
0.023333333,0.02,49.99652558
0.025,0.018333333,50.0
0.025,0.02,50.0
