r,z,concentration
0.006081432,0.001128116,68.00755094
0.005,0.001666667,70.49972713
0.005,-1.22e-18,70.49736187
0.006666667,-1.63e-18,66.83750126
0.006240339,0.002504357,67.67911891
0.005,0.003333333,70.49899902
0.008333333,-2.04e-18,63.99606483
0.007500154,0.001469558,65.33732936
0.006299371,0.004137356,67.55929837
0.005,0.005,70.49893681
0.009247126,0.001329351,62.67096621
0.01,-2.45e-18,61.67399715
0.007585177,0.003278444,65.1939703
0.008734781,0.002550589,63.39685586
0.006333417,0.005798302,67.49069006
0.005,0.006666667,70.49889818
0.006335456,0.007478169,67.48657243
0.005,0.008333333,70.49892425
0.010873623,0.001347901,60.60723842
0.011666667,-2.86e-18,59.71055563
0.006335782,0.009155173,67.48588693
0.005,0.01,70.4988969
0.007672706,0.00493889,65.04787677
0.010109494,0.002682104,61.5352705
0.009170872,0.004070665,62.77646791
0.007673071,0.006614564,65.04729371
0.007670466,0.008300973,65.05156494
0.011704839,0.002727953,59.66894236
0.012512663,0.001357892,58.81881178
0.013333333,-3.27e-18,58.00956837
0.01416604,0.001352508,57.23781474
0.015,-3.67e-18,56.50906386
0.006354156,0.010836119,67.44906733
0.005,0.011666667,70.49884788
0.00635545,0.012520773,67.44624772
0.005,0.013333333,70.49889056
0.007694859,0.009995373,65.01114981
0.008981275,0.00577102,63.04243897
0.010913139,0.004112139,60.56108785
0.01021359,0.005270885,61.40482278
0.009010287,0.007427977,63.00138359
0.009021593,0.009117594,62.98539686
0.012488635,0.004149219,58.84328792
0.013331477,0.00271899,58.01133943
0.015829813,0.00134167,55.82306383
0.016666667,-4.08e-18,55.16671631
0.014988472,0.002696054,56.51885814
0.017498098,0.001330821,54.54645748
0.018333333,-4.49e-18,53.95233403
0.006367063,0.014168614,67.4233332
0.005,0.015,70.49927277
0.006322457,0.015708041,67.51284235
0.005,0.016666667,70.49842112
0.007738843,0.011678727,64.93854537
0.007881822,0.013465333,64.70575084
0.009033986,0.010799112,62.96784081
0.010302009,0.006668353,61.29503117
0.01162919,0.005669103,59.75148991
0.01034734,0.008271927,61.23913962
0.010361168,0.00996279,61.22211584
0.01335288,0.005425535,57.99091074
0.014131985,0.004061102,57.26846967
0.0166596,0.002670638,55.17211944
0.015811648,0.004033679,55.83769157
0.019165488,0.00131772,53.38671535
0.02,-4.9e-18,52.84362264
0.018329202,0.002652068,53.95520522
0.020827081,0.001281174,52.32726605
0.021666667,-5.31e-18,51.82364979
0.006495464,0.017494239,67.1689972
0.005,0.018333333,70.49936611
0.006143248,0.01892337,67.87871887
0.005,0.02,70.49740128
0.007639583,0.014985581,65.10294752
0.007595349,0.016196653,65.17690804
0.009106135,0.012437794,62.86667227
0.008720768,0.014527497,63.417321
0.009184378,0.013677403,62.7576071
0.010499615,0.011707307,61.05305455
0.011671828,0.007420298,59.70492936
0.012835938,0.006692094,58.49388312
0.011712111,0.009039373,59.66101861
0.011764554,0.010558703,59.60416762
0.014252445,0.006784874,57.16032669
0.015010368,0.005407193,56.50025996
0.016673003,0.005361258,55.16187797
0.017481493,0.003997711,54.55855306
0.020005308,0.002642282,52.84024166
0.019165223,0.003953238,53.38689501
0.021652559,0.00250118,51.83193973
0.022472465,0.001225863,51.3583218
0.023333333,-5.72e-18,50.87925706
0.023868012,0.001080568,50.59052342
0.025,-6.12e-18,50.0
0.008270984,0.017378502,64.09177817
0.007554107,0.018789277,65.24618363
0.006666667,0.02,66.83748681
0.008940438,0.01584129,63.10034773
0.010271887,0.013291305,61.33232895
0.00992943,0.014653942,61.7641606
0.011441779,0.012928186,59.9584898
0.012138656,0.011877007,59.2053995
0.012891362,0.011051753,58.4389862
0.013204377,0.008180937,58.13333788
0.013015538,0.009872513,58.31688654
0.015102163,0.008060043,56.4226187
0.015904181,0.006750636,55.76334591
0.017588531,0.006665887,54.48077866
0.01825201,0.005315834,54.00898001
0.019690821,0.005208199,53.04214186
0.020869726,0.004149271,52.30120481
0.022407141,0.003733985,51.39541486
0.023527843,0.00251249,50.77346964
0.025,0.001666667,50.0
0.009901222,0.017275216,61.80046381
0.009139326,0.01867434,62.82024323
0.008333333,0.02,63.99607088
0.010695222,0.015872903,60.81798358
0.011469986,0.014343201,59.92710435
0.012642616,0.01328337,58.68717231
0.013452255,0.012039262,57.89642873
0.014045457,0.010818487,57.34669287
0.01443168,0.009464144,57.00115236
0.01571537,0.009284491,55.91550045
0.016797224,0.008225548,55.06730683
0.018325178,0.007842478,53.95800462
0.019328391,0.006683122,53.27886751
0.020882475,0.00590324,52.29341543
0.022284556,0.005102772,51.46532363
0.02364488,0.004255095,50.71021989
0.025,0.003333333,50.0
0.01157326,0.017252572,59.81295536
0.010788103,0.018631691,60.70780632
0.01,0.02,61.67403848
0.012346742,0.015857878,58.98885376
0.013135697,0.014533856,58.19977605
0.014129331,0.013271306,57.27085556
0.014981206,0.01193284,56.52502418
0.0155007,0.010550409,56.09072965
0.016887669,0.009872606,54.99887065
0.018213887,0.0092094,54.03561502
0.019565037,0.008353246,53.12380175
0.02087034,0.007493571,52.30082595
0.022264055,0.00670017,51.47704951
0.02363816,0.005872563,50.71384609
0.025,0.005,50.0
0.013249733,0.017255364,58.08969441
0.012457369,0.018628446,58.87522954
0.011666667,0.02,59.71056985
0.014041896,0.015893789,57.34994782
0.014894337,0.014566025,56.59913313
0.015725734,0.013191546,55.90711606
0.01670903,0.011766425,55.13437404
0.018241779,0.0108513,54.01613368
0.019571807,0.010002052,53.11939471
0.020921673,0.009148552,52.26952082
0.022272064,0.008333634,51.4724672
0.023635469,0.007510673,50.71529656
0.025,0.006666667,50.0
0.014946048,0.017268324,56.5549721
0.014133082,0.018631172,57.26748903
0.013333333,0.02,58.00957506
0.015763911,0.01590405,55.87621529
0.016581508,0.0146044,55.2319833
0.017109882,0.013283348,54.8323128
0.018317168,0.012516259,53.96357544
0.019613074,0.011652245,53.09255867
0.020943563,0.010819853,52.25619578
0.022292189,0.00999003,51.46095797
0.023642577,0.009166301,50.71146492
0.025,0.008333333,50.0
0.016635177,0.01726299,55.19081678
0.015811954,0.018635545,55.83744743
0.015,0.02,56.50906649
0.017482525,0.015827169,54.55781461
0.018301758,0.014286804,53.97431032
0.019630686,0.013255155,53.08111954
0.020970141,0.012468828,52.24003436
0.022305062,0.011651831,51.45360054
0.023648858,0.010828032,50.70807984
0.025,0.01,50.0
0.018252668,0.017242654,54.00852028
0.017466592,0.01862848,54.5694203
0.016666667,0.02,55.16671815
0.01902618,0.015853356,53.47965902
0.019734406,0.014628159,53.01397077
0.021017012,0.014113545,52.21158416
0.022320674,0.013312206,51.44468368
0.023655006,0.012492017,50.70476739
0.025,0.011666667,50.0
0.019845908,0.017261214,52.94218469
0.01909975,0.018629689,53.430496
0.018333333,0.02,53.95233698
0.020795708,0.015837342,52.34647395
0.022321243,0.014987026,51.44435989
0.023655578,0.01415999,50.7044584
0.025,0.013333333,50.0
0.021198887,0.017374843,52.10178063
0.020706029,0.018627542,52.40154307
0.02,0.02,52.84362841
0.022426319,0.016643254,51.38451489
0.023690877,0.015820627,50.68545626
0.025,0.015,50.0
0.022430695,0.018486608,51.38202983
0.021666667,0.02,51.82365313
0.023742122,0.017466827,50.65792227
0.025,0.016666667,50.0
0.023904842,0.018850472,50.57087497
0.023333333,0.02,50.87925916
0.025,0.018333333,50.0
0.025,0.02,50.0
