r,z,Jr,Jphi,Jz,J_mag
0.01416604,0.001352508,-3.29e-11,0.0,1.23e-10,1.2732403543714752e-10
0.015,0.02,-1.16e-10,0.0,6.62e-11,1.3356062293954758e-10
0.018213887,0.0092094,-8.63e-11,0.0,-2.92e-12,8.634938563765234e-11
0.009106135,0.012437794,8.37e-11,0.0,-1.42e-10,1.6483230872617175e-10
0.01335288,0.005425535,1.2e-10,0.0,-2.12e-10,2.4360623965736183e-10
0.023333333,0.02,1.8e-10,0.0,-9.6e-11,2.04e-10
0.016666667,-4.08e-18,1.18e-10,0.0,-1.76e-11,1.1930532259710798e-10
0.016666667,0.02,-3.28e-11,0.0,2.16e-11,3.9273400667627446e-11
0.005,0.005,1.49e-11,0.0,-1.55e-10,1.5571451441660794e-10
0.011441779,0.012928186,-1.36e-10,0.0,2.34e-10,2.7065106687393645e-10
0.014981206,0.01193284,-1.02e-10,0.0,-8.64e-11,1.3367482934344819e-10
0.021666667,0.02,-9.26e-12,0.0,1.22e-10,1.2235091989846256e-10
0.022272064,0.008333634,1.49e-10,0.0,1.22e-10,1.9257466084612482e-10
0.011764554,0.010558703,6.17e-11,0.0,-1e-10,1.1750272337269466e-10
0.005,0.006666667,-2.46e-10,0.0,2.32e-11,2.4709156197652723e-10
0.022426319,0.016643254,4.65e-12,0.0,1.71e-11,1.7720962163494398e-11
0.020943563,0.010819853,-5.47e-11,0.0,1.3e-10,1.4103932075843245e-10
0.010873623,0.001347901,-2.45e-11,0.0,1.86e-10,1.876066363431742e-10
0.025,0.018333333,-9.55e-11,0.0,1.72e-10,1.9673395741457548e-10
0.017481493,0.003997711,1.67e-10,0.0,-5.7e-11,1.7645962711056598e-10
0.011671828,0.007420298,-2.86e-11,0.0,2.44e-10,2.456704296410131e-10
