% Model,electrode_in_salt.mph,,,
% Version,COMSOL 6.4.0.293,,,
% Date,"Dec 15 2025, 18:33",,,
% Dimension,2,,,
% Nodes,505,,,
% Expressions,3,,,
% Description,"Electrolyte current density vector, r-component, Electrolyte current density vector, phi-component, Electrolyte current density vector, z-component",,,
% Length unit,m,,,
% r,z,tcd.Ilr (A/m^2),tcd.Ilphi (A/m^2),tcd.Ilz (A/m^2)
0.001091937,0.001128579,NaN,NaN,NaN
4.08E-19,0.001666667,NaN,NaN,NaN
0,0,NaN,NaN,NaN
0.001091937,0.001128579,NaN,NaN,NaN
0,0,NaN,NaN,NaN
0.001666667,-4.08E-19,NaN,NaN,NaN
0.001218406,0.00247482,NaN,NaN,NaN
8.16E-19,0.003333333,NaN,NaN,NaN
4.08E-19,0.001666667,NaN,NaN,NaN
0.001091937,0.001128579,NaN,NaN,NaN
0.001218406,0.00247482,NaN,NaN,NaN
4.08E-19,0.001666667,NaN,NaN,NaN
0.001235147,0.004117494,NaN,NaN,NaN
1.22E-18,0.005,NaN,NaN,NaN
8.16E-19,0.003333333,NaN,NaN,NaN
8.16E-19,0.003333333,NaN,NaN,NaN
0.001218406,0.00247482,NaN,NaN,NaN
0.001235147,0.004117494,NaN,NaN,NaN
0.001241537,0.005805512,NaN,NaN,NaN
1.63E-18,0.006666667,NaN,NaN,NaN
1.22E-18,0.005,NaN,NaN,NaN
1.22E-18,0.005,NaN,NaN,NaN
0.001235147,0.004117494,NaN,NaN,NaN
0.001241537,0.005805512,NaN,NaN,NaN
0.002509506,0.001404123,NaN,NaN,NaN
0.001666667,-4.08E-19,NaN,NaN,NaN
0.003333333,-8.16E-19,NaN,NaN,NaN
0.001091937,0.001128579,NaN,NaN,NaN
0.001666667,-4.08E-19,NaN,NaN,NaN
0.002509506,0.001404123,NaN,NaN,NaN
0.001091937,0.001128579,NaN,NaN,NaN
0.002509506,0.001404123,NaN,NaN,NaN
0.001218406,0.00247482,NaN,NaN,NaN
0.003894726,0.001143431,NaN,NaN,NaN
0.002509506,0.001404123,NaN,NaN,NaN
0.003333333,-8.16E-19,NaN,NaN,NaN
0.003894726,0.001143431,NaN,NaN,NaN
0.003333333,-8.16E-19,NaN,NaN,NaN
0.005,-1.22E-18,NaN,NaN,NaN
0.002473846,0.003198722,NaN,NaN,NaN
0.001235147,0.004117494,NaN,NaN,NaN
0.001218406,0.00247482,NaN,NaN,NaN
0.001218406,0.00247482,NaN,NaN,NaN
0.002509506,0.001404123,NaN,NaN,NaN
0.002473846,0.003198722,NaN,NaN,NaN
0.002485598,0.004897989,NaN,NaN,NaN
0.001241537,0.005805512,NaN,NaN,NaN
0.001235147,0.004117494,NaN,NaN,NaN
0.001235147,0.004117494,NaN,NaN,NaN
0.002473846,0.003198722,NaN,NaN,NaN
0.002485598,0.004897989,NaN,NaN,NaN
0.001243169,0.007472633,NaN,NaN,NaN
2.04E-18,0.008333333,NaN,NaN,NaN
1.63E-18,0.006666667,NaN,NaN,NaN
1.63E-18,0.006666667,NaN,NaN,NaN
0.001241537,0.005805512,NaN,NaN,NaN
0.001243169,0.007472633,NaN,NaN,NaN
0.001248206,0.009141519,NaN,NaN,NaN
2.45E-18,0.01,NaN,NaN,NaN
2.04E-18,0.008333333,NaN,NaN,NaN
2.04E-18,0.008333333,NaN,NaN,NaN
0.001243169,0.007472633,NaN,NaN,NaN
0.001248206,0.009141519,NaN,NaN,NaN
0.002507265,0.006615108,NaN,NaN,NaN
0.001243169,0.007472633,NaN,NaN,NaN
0.001241537,0.005805512,NaN,NaN,NaN
0.001241537,0.005805512,NaN,NaN,NaN
0.002485598,0.004897989,NaN,NaN,NaN
0.002507265,0.006615108,NaN,NaN,NaN
0.003894726,0.001143431,NaN,NaN,NaN
0.003759887,0.00252959,NaN,NaN,NaN
0.002509506,0.001404123,NaN,NaN,NaN
0.003759887,0.00252959,NaN,NaN,NaN
0.002473846,0.003198722,NaN,NaN,NaN
0.002509506,0.001404123,NaN,NaN,NaN
0.003894726,0.001143431,NaN,NaN,NaN
0.005,-1.22E-18,NaN,NaN,NaN
0.005,0.001666667,NaN,NaN,NaN
0.003894726,0.001143431,NaN,NaN,NaN
0.005,0.001666667,NaN,NaN,NaN
0.003759887,0.00252959,NaN,NaN,NaN
0.002473846,0.003198722,NaN,NaN,NaN
0.003759887,0.00252959,NaN,NaN,NaN
0.003748203,0.004126182,NaN,NaN,NaN
0.003748203,0.004126182,NaN,NaN,NaN
0.002485598,0.004897989,NaN,NaN,NaN
0.002473846,0.003198722,NaN,NaN,NaN
0.002485598,0.004897989,NaN,NaN,NaN
0.003748203,0.004126182,NaN,NaN,NaN
0.003758424,0.005794829,NaN,NaN,NaN
0.003758424,0.005794829,NaN,NaN,NaN
0.002507265,0.006615108,NaN,NaN,NaN
0.002485598,0.004897989,NaN,NaN,NaN
0.001251264,0.010817355,NaN,NaN,NaN
2.86E-18,0.011666667,NaN,NaN,NaN
2.45E-18,0.01,NaN,NaN,NaN
2.45E-18,0.01,NaN,NaN,NaN
0.001248206,0.009141519,NaN,NaN,NaN
0.001251264,0.010817355,NaN,NaN,NaN
0.001251023,0.012494331,NaN,NaN,NaN
3.27E-18,0.013333333,NaN,NaN,NaN
2.86E-18,0.011666667,NaN,NaN,NaN
2.86E-18,0.011666667,NaN,NaN,NaN
0.001251264,0.010817355,NaN,NaN,NaN
0.001251023,0.012494331,NaN,NaN,NaN
0.002489106,0.00829802,NaN,NaN,NaN
0.001248206,0.009141519,NaN,NaN,NaN
0.001243169,0.007472633,NaN,NaN,NaN
0.001243169,0.007472633,NaN,NaN,NaN
0.002507265,0.006615108,NaN,NaN,NaN
0.002489106,0.00829802,NaN,NaN,NaN
0.002500277,0.009972694,NaN,NaN,NaN
0.001251264,0.010817355,NaN,NaN,NaN
0.001248206,0.009141519,NaN,NaN,NaN
0.001248206,0.009141519,NaN,NaN,NaN
0.002489106,0.00829802,NaN,NaN,NaN
0.002500277,0.009972694,NaN,NaN,NaN
0.002507265,0.006615108,NaN,NaN,NaN
0.003758424,0.005794829,NaN,NaN,NaN
0.003750125,0.007475631,NaN,NaN,NaN
0.003750125,0.007475631,NaN,NaN,NaN
0.002489106,0.00829802,NaN,NaN,NaN
0.002507265,0.006615108,NaN,NaN,NaN
