r,z,concentration
0.006081432,0.001128116,3.37e-05
0.005,0.001666667,3.83e-05
0.005,-1.22e-18,3.83e-05
0.006666667,-1.63e-18,3.15e-05
0.006240339,0.002504357,3.3e-05
0.005,0.003333333,3.83e-05
0.008333333,-2.04e-18,2.62e-05
0.007500154,0.001469558,2.87e-05
0.006299371,0.004137356,3.28e-05
0.005,0.005,3.83e-05
0.009247126,0.001329351,2.37e-05
0.01,-2.45e-18,2.18e-05
0.007585177,0.003278444,2.84e-05
0.008734781,0.002550589,2.5e-05
0.006333417,0.005798302,3.27e-05
0.005,0.006666667,3.83e-05
0.006335456,0.007478169,3.27e-05
0.005,0.008333333,3.83e-05
0.010873623,0.001347901,1.98e-05
0.011666667,-2.86e-18,1.81e-05
0.006335782,0.009155173,3.27e-05
0.005,0.01,3.83e-05
0.007672706,0.00493889,2.81e-05
0.010109494,0.002682104,2.16e-05
0.009170872,0.004070665,2.39e-05
0.007673071,0.006614564,2.81e-05
0.007670466,0.008300973,2.81e-05
0.011704839,0.002727953,1.81e-05
0.012512663,0.001357892,1.65e-05
0.013333333,-3.27e-18,1.5e-05
0.01416604,0.001352508,1.35e-05
0.015,-3.67e-18,1.22e-05
0.006354156,0.010836119,3.26e-05
0.005,0.011666667,3.83e-05
0.00635545,0.012520773,3.26e-05
0.005,0.013333333,3.83e-05
0.007694859,0.009995373,2.81e-05
0.008981275,0.00577102,2.44e-05
0.010913139,0.004112139,1.97e-05
0.01021359,0.005270885,2.13e-05
0.009010287,0.007427977,2.43e-05
0.009021593,0.009117594,2.43e-05
0.012488635,0.004149219,1.65e-05
0.013331477,0.00271899,1.5e-05
0.015829813,0.00134167,1.09e-05
0.016666667,-4.08e-18,9.66e-06
0.014988472,0.002696054,1.22e-05
0.017498098,0.001330821,8.5e-06
0.018333333,-4.49e-18,7.39e-06
0.006367063,0.014168614,3.26e-05
0.005,0.015,3.83e-05
0.006322457,0.015708041,3.27e-05
0.005,0.016666667,3.83e-05
0.007738843,0.011678727,2.79e-05
0.007881822,0.013465333,2.75e-05
0.009033986,0.010799112,2.42e-05
0.010302009,0.006668353,2.11e-05
0.01162919,0.005669103,1.82e-05
0.01034734,0.008271927,2.1e-05
0.010361168,0.00996279,2.1e-05
0.01335288,0.005425535,1.49e-05
0.014131985,0.004061102,1.36e-05
0.0166596,0.002670638,9.67e-06
0.015811648,0.004033679,1.09e-05
0.019165488,0.00131772,6.33e-06
