% Model,electrode_in_salt.mph,
% Version,COMSOL 6.4.0.293,
% Date,"Dec 16 2025, 13:32",
% Dimension,2,
% Nodes,263,
% Expressions,1,
% Description,Electric potential,
% Length unit,m,
% r,z,tcd.phis_es1 (V)
0.001091937,0.001128579,0
4.08E-19,0.001666667,0
0,0,0
0.001666667,-4.08E-19,0
0.001218406,0.00247482,0
8.16E-19,0.003333333,0
0.001235147,0.004117494,0
1.22E-18,0.005,0
0.001241537,0.005805512,0
1.63E-18,0.006666667,0
0.002509506,0.001404123,0
0.003333333,-8.16E-19,0
0.003894726,0.001143431,0
0.005,-1.22E-18,0
0.002473846,0.003198722,0
0.002485598,0.004897989,0
0.001243169,0.007472633,0
2.04E-18,0.008333333,0
0.001248206,0.009141519,0
2.45E-18,0.01,0
0.002507265,0.006615108,0
0.003759887,0.00252959,0
0.005,0.001666667,0
0.003748203,0.004126182,0
0.003758424,0.005794829,0
0.001251264,0.010817355,0
2.86E-18,0.011666667,0
0.001251023,0.012494331,0
3.27E-18,0.013333333,0
0.002489106,0.00829802,0
0.002500277,0.009972694,0
0.003750125,0.007475631,0
0.005,0.003333333,0
0.005,0.005,0
0.005,0.006666667,0
0.001248962,0.014170864,0
3.67E-18,0.015,0
0.001241356,0.015850541,0
4.08E-18,0.016666667,0
0.002502358,0.011652294,0
0.002501192,0.013332421,0
0.003748678,0.009148113,0
0.003752139,0.0108192,0
0.005,0.008333333,0
0.002498049,0.01501851,0
0.001211331,0.017505329,0
4.49E-18,0.018333333,0
0.001075689,0.018882152,0
4.90E-18,0.02,0
0.002487755,0.016744946,0
0.0037531,0.012492556,0
0.003752839,0.014168274,0
0.005,0.01,0
0.005,0.011666667,0
0.003755409,0.015845485,0
0.002500447,0.018572097,0
0.001666667,0.02,0
0.003777649,0.01750752,0
0.005,0.013333333,0
0.005,0.015,0
0.005,0.016666667,0
0.003922286,0.01888259,0
0.003333333,0.02,0
0.005,0.018333333,0
0.005,0.02,0
0.006081432,0.001128116,0
0.006666667,-1.63E-18,0
0.006240339,0.002504357,0
0.008333333,-2.04E-18,0
0.007500154,0.001469558,0
0.006299371,0.004137356,0
0.009247126,0.001329351,0
0.01,-2.45E-18,0
0.007585177,0.003278444,0
0.008734781,0.002550589,0
0.006333417,0.005798302,0
0.006335456,0.007478169,0
0.010873623,0.001347901,0
0.011666667,-2.86E-18,0
0.006335782,0.009155173,0
0.007672706,0.00493889,0
0.010109494,0.002682104,0
0.009170872,0.004070665,0
0.007673071,0.006614564,0
0.007670466,0.008300973,0
0.011704839,0.002727953,0
0.012512663,0.001357892,0
0.013333333,-3.27E-18,0
0.01416604,0.001352508,0
0.015,-3.67E-18,0
0.006354156,0.010836119,0
0.00635545,0.012520773,0
0.007694859,0.009995373,0
0.008981275,0.00577102,0
0.010913139,0.004112139,0
0.01021359,0.005270885,0
0.009010287,0.007427977,0
0.009021593,0.009117594,0
0.012488635,0.004149219,0
0.013331477,0.00271899,0
0.015829813,0.00134167,0
0.016666667,-4.08E-18,0
0.014988472,0.002696054,0
0.017498098,0.001330821,0
0.018333333,-4.49E-18,0
0.006367063,0.014168614,0
0.006322457,0.015708041,0
0.007738843,0.011678727,0
0.007881822,0.013465333,0
0.009033986,0.010799112,0
0.010302009,0.006668353,0
0.01162919,0.005669103,0
0.01034734,0.008271927,0
0.010361168,0.00996279,0
0.01335288,0.005425535,0
0.014131985,0.004061102,0
0.0166596,0.002670638,0
0.015811648,0.004033679,0
0.019165488,0.00131772,0
0.02,-4.90E-18,0
0.018329202,0.002652068,0
0.020827081,0.001281174,0
0.021666667,-5.31E-18,0
0.006495464,0.017494239,0
0.006143248,0.01892337,0
0.007639583,0.014985581,0
0.007595349,0.016196653,0
0.009106135,0.012437794,0
0.008720768,0.014527497,0
0.009184378,0.013677403,0
0.010499615,0.011707307,0
0.011671828,0.007420298,0
0.012835938,0.006692094,0
0.011712111,0.009039373,0
0.011764554,0.010558703,0
0.014252445,0.006784874,0
0.015010368,0.005407193,0
0.016673003,0.005361258,0
0.017481493,0.003997711,0
0.020005308,0.002642282,0
0.019165223,0.003953238,0
0.021652559,0.00250118,0
0.022472465,0.001225863,0
0.023333333,-5.72E-18,0
0.023868012,0.001080568,0
0.025,-6.12E-18,0
0.008270984,0.017378502,0
0.007554107,0.018789277,0
0.006666667,0.02,0
0.008940438,0.01584129,0
0.010271887,0.013291305,0
0.00992943,0.014653942,0
0.011441779,0.012928186,0
0.012138656,0.011877007,0
0.012891362,0.011051753,0
0.013204377,0.008180937,0
0.013015538,0.009872513,0
0.015102163,0.008060043,0
0.015904181,0.006750636,0
0.017588531,0.006665887,0
0.01825201,0.005315834,0
0.019690821,0.005208199,0
0.020869726,0.004149271,0
0.022407141,0.003733985,0
0.023527843,0.00251249,0
0.025,0.001666667,0
0.009901222,0.017275216,0
0.009139326,0.01867434,0
0.008333333,0.02,0
0.010695222,0.015872903,0
0.011469986,0.014343201,0
0.012642616,0.01328337,0
0.013452255,0.012039262,0
0.014045457,0.010818487,0
0.01443168,0.009464144,0
0.01571537,0.009284491,0
0.016797224,0.008225548,0
0.018325178,0.007842478,0
0.019328391,0.006683122,0
0.020882475,0.00590324,0
0.022284556,0.005102772,0
0.02364488,0.004255095,0
0.025,0.003333333,0
0.01157326,0.017252572,0
0.010788103,0.018631691,0
0.01,0.02,0
0.012346742,0.015857878,0
0.013135697,0.014533856,0
0.014129331,0.013271306,0
0.014981206,0.01193284,0
0.0155007,0.010550409,0
0.016887669,0.009872606,0
0.018213887,0.0092094,0
0.019565037,0.008353246,0
0.02087034,0.007493571,0
0.022264055,0.00670017,0
0.02363816,0.005872563,0
0.025,0.005,0
0.013249733,0.017255364,0
0.012457369,0.018628446,0
0.011666667,0.02,0
0.014041896,0.015893789,0
0.014894337,0.014566025,0
0.015725734,0.013191546,0
0.01670903,0.011766425,0
0.018241779,0.0108513,0
0.019571807,0.010002052,0
0.020921673,0.009148552,0
0.022272064,0.008333634,0
0.023635469,0.007510673,0
0.025,0.006666667,0
0.014946048,0.017268324,0
0.014133082,0.018631172,0
0.013333333,0.02,0
0.015763911,0.01590405,0
0.016581508,0.0146044,0
0.017109882,0.013283348,0
0.018317168,0.012516259,0
0.019613074,0.011652245,0
0.020943563,0.010819853,0
0.022292189,0.00999003,0
0.023642577,0.009166301,0
0.025,0.008333333,0
0.016635177,0.01726299,0
0.015811954,0.018635545,0
0.015,0.02,0
0.017482525,0.015827169,0
0.018301758,0.014286804,0
0.019630686,0.013255155,0
0.020970141,0.012468828,0
0.022305062,0.011651831,0
0.023648858,0.010828032,0
0.025,0.01,0
0.018252668,0.017242654,0
0.017466592,0.01862848,0
0.016666667,0.02,0
0.01902618,0.015853356,0
0.019734406,0.014628159,0
0.021017012,0.014113545,0
0.022320674,0.013312206,0
0.023655006,0.012492017,0
0.025,0.011666667,0
0.019845908,0.017261214,0
